"delta","nu","sigma","train_accuracy","train_log_loss","train_calibration","validation_accuracy","validation_log_loss","validation_calibration","test_accuracy","test_log_loss","test_calibration"
150,5,0.15,0.552489905787349,2.06705263289574,0.818490128384844,0.565915170042033,1.96087547153962,1.0075120506004,0.560985144644253,1.77972300789513,0.950951767288196
150,5,0.2,0.565083637761969,Inf,0.843447815332136,0.569354222392052,Inf,1.03457637133138,0.562939796716185,Inf,0.962566054682838
150,7,0.05,0.629205921938089,0.675240546010834,0.900626694313214,0.610240733664501,0.69991635083375,1.00155291631718,0.593432369038311,0.70995398508928,0.960468466760807
150,7,0.1,0.580128821380504,1.06845750414383,0.864537895439563,0.57928926251433,1.05027744557328,1.00712620012345,0.584831899921814,0.992639017300656,0.958119204600988
150,7,0.15,0.553018650259565,2.08811374560155,0.818669058374337,0.564004585403133,1.9870684788798,1.00798382024395,0.559421422986708,1.80153587154057,0.949354563974819
150,7,0.2,0.552393770428764,Inf,0.810129854527829,0.551012609858617,Inf,1.00027519587034,0.550430023455825,Inf,0.900984127417955
150,9,0.05,0.63002307248606,0.675569576692325,0.901404769704924,0.610622850592281,0.700668482136926,1.00252911281656,0.593823299452697,0.710459616136752,0.961067573232023
150,9,0.1,0.580465295135551,1.07290333540031,0.865780938815589,0.580053496369889,1.05664502900819,1.00838777268748,0.582877247849883,0.997541128449189,0.958916793876614
150,9,0.15,0.554268409921169,2.10711753932635,0.819726419235422,0.562858234619794,2.00940775467703,1.00913492969414,0.558639562157936,1.82084486487369,0.949228822439074
150,9,0.2,0.545423956931359,Inf,0.804646270229228,0.551394726786397,Inf,1.00464239379913,0.559421422986708,Inf,0.94474635515163
200,1,0.05,0.616948663718516,0.705693787066815,0.894855975458252,0.600305693542224,0.722953318516314,1.0016070577116,0.592650508209539,0.728365748782886,0.961679035672276
200,1,0.1,0.568159969236685,1.28619083876713,0.846398840360881,0.567825754680932,1.24196388245055,1.00284919374061,0.577013291634089,1.15496433888536,0.953914170474876
200,1,0.15,0.556191117092867,Inf,0.825142280708081,0.561329766908674,2.45470113690818,1.01096909558759,0.559030492572322,2.23126063492784,0.952185936535509
200,1,0.2,0.537925398961738,Inf,0.773701357333685,0.547191440580818,Inf,0.979367476801546,0.554339327599687,Inf,0.934960482282696
200,3,0.05,0.617669678907902,0.706211485064441,0.895803150978433,0.602598395108903,0.724056398591146,1.00271438579316,0.593041438623925,0.729069785017576,0.962349617704944
200,3,0.1,0.569073255143242,1.29329598440879,0.847878745655949,0.568207871608712,1.25160340485627,1.00440726019761,0.574276778733385,1.16244872548493,0.954877572204902
200,3,0.15,0.555710440299942,2.65696954591524,0.822631822917233,0.562858234619794,2.48677696278592,1.02043691386418,0.564112587959343,2.27527753009664,0.959364229949824
200,3,0.2,0.55941165160546,Inf,0.827200310434309,0.564386702330913,Inf,1.01561905052529,0.56450351837373,Inf,0.950147262521337
200,5,0.05,0.618823303210921,0.706759852094726,0.896717747124615,0.602216278181123,0.725188675388314,1.00378326004845,0.593041438623925,0.729799535804856,0.962999314129039
200,5,0.1,0.569505864256874,1.30055844656714,0.849308622432208,0.566297286969813,1.26133250449495,1.00591110457146,0.574276778733385,1.17009623655261,0.955841642306662
200,5,0.15,0.556239184772159,2.66647735905921,0.823762886651082,0.559419182269775,2.53968938453921,1.01233825590426,0.563330727130571,2.3337549720981,0.95150063508239
200,5,0.2,0.555133628148433,Inf,0.818321484246857,0.562094000764234,Inf,1.01830289824178,0.568803752931978,Inf,0.947492425889118
200,7,0.05,0.619159776965968,0.707336865677152,0.897601681348712,0.602598395108903,0.726347448068391,1.00481610956665,0.591868647380766,0.730553104674414,0.963629477863469
200,7,0.1,0.570274947125553,1.30795865589647,0.850692991270119,0.566297286969813,1.27113197592045,1.00736468357503,0.575449569976544,1.17789070917757,0.956803638586342
200,7,0.15,0.548115746971736,2.69838442630159,0.811462924280597,0.557508597630875,2.56731013736614,1.00571866319078,0.555903049257232,2.30672388241232,0.942754765260965
200,7,0.2,0.546865987310133,Inf,0.805993810590774,0.554833779136416,Inf,1.00937092589784,0.558639562157936,Inf,0.949052245134941
200,9,0.05,0.619880792155355,0.707940708730065,0.898456718188353,0.602216278181123,0.727530311842597,1.00581514763646,0.591086786551994,0.731328815323234,0.964241346240116
200,9,0.1,0.571909248221496,1.3154801456316,0.852035853790949,0.567443637753152,1.28098574361374,1.00877152817735,0.575449569976544,1.18581793576646,0.957761389735033
200,9,0.15,0.554749086714093,Inf,0.819936611257347,0.557508597630875,2.58793086313064,1.00346188572845,0.56137607505864,2.32664610450984,0.944905809157523
200,9,0.2,0.563497404345318,Inf,0.834752738125784,0.564004585403133,Inf,1.03650634500369,0.569976544175137,Inf,0.954571943913226
