"delta","nu","sigma","train_accuracy","train_log_loss","train_calibration","validation_accuracy","validation_log_loss","validation_calibration","test_accuracy","test_log_loss","test_calibration"
50,1,0.05,0.644779850028841,0.623177775566326,0.900246389558814,0.61673672143676,0.658737453531712,0.970667702127073,0.591086786551994,0.672471266611203,0.940153532149456
50,1,0.1,0.616948663718516,0.705693787066815,0.894855975458252,0.600305693542224,0.722953318516314,1.0016070577116,0.592650508209539,0.728365748782886,0.961679035672276
50,1,0.15,0.585464333781965,0.904196796288931,0.873367723650186,0.584256782575468,0.894942155127125,1.00426372062419,0.588741204065676,0.865289464424137,0.95926553172189
50,1,0.2,0.568159969236685,1.28619083876713,0.846398840360881,0.567825754680932,1.24196388245055,1.00284919374061,0.577013291634089,1.15496433888536,0.953914170474876
50,3,0.05,0.64574120361469,0.62301705810598,0.90086082633369,0.618647306075659,0.6587604739428,0.97168699915689,0.591868647380766,0.672558129427611,0.940699041761751
50,3,0.1,0.617669678907902,0.706211485064441,0.895803150978433,0.602598395108903,0.724056398591146,1.00271438579316,0.593041438623925,0.729069785017576,0.962349617704944
50,3,0.15,0.586569890405691,0.90664373740199,0.874637586254991,0.582728314864349,0.898943008748084,1.00553086487005,0.589132134480063,0.868132206528102,0.959963767377551
50,3,0.2,0.569073255143242,1.29329598440879,0.847878745655949,0.568207871608712,1.25160340485627,1.00440726019761,0.574276778733385,1.16244872548493,0.954877572204902
50,5,0.05,0.646942895597001,0.622867589970526,0.901462435268788,0.61711883836454,0.658794092708934,0.972686497814265,0.592259577795152,0.672652740504831,0.941234359823941
50,5,0.1,0.618823303210921,0.706759852094726,0.896717747124615,0.602216278181123,0.725188675388314,1.00378326004845,0.593041438623925,0.729799535804856,0.962999314129039
50,5,0.15,0.588156123822342,0.909169126328933,0.875855719078214,0.583874665647688,0.902997653396242,1.00675070225648,0.587568412822518,0.871047389573989,0.960647676996384
50,5,0.2,0.569505864256874,1.30055844656714,0.849308622432208,0.566297286969813,1.26133250449495,1.00591110457146,0.574276778733385,1.17009623655261,0.955841642306662
